"LINEGROUP_ID","LINE_ID","SEQ_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION"
"2","10","2","A3210","2020-04-03 15:13:54","A3210","2020-04-03 16:07:59","3"
"3","10","1","A3210","2020-04-03 15:13:53","A3210",\N,"1"
"4","6","6","A3210","2019-03-20 12:37:47","A3210","2020-04-03 16:08:30","6"
"5","8","3","A3210","2019-03-20 12:50:30","A3210","2020-04-03 16:11:46","10"
"6","11","1","B83365","2020-04-03 16:30:43","B83365",\N,"1"
"7","11","3","A3210","2020-04-03 16:30:47","A3210","2020-04-03 17:12:57","2"
"8","11","2","B83365","2020-04-03 16:30:45","B83365",\N,"1"
"9","11","4","A3210","2020-04-03 16:30:48","A3210","2020-04-03 17:13:08","2"
"10","10","4","A3210","2020-04-03 15:13:58","A3210","2020-04-03 15:43:27","2"
"11","10","5","A3210","2020-04-03 15:13:59","A3210","2020-04-03 15:48:38","2"
"12","10","6","A3210","2020-04-03 15:14:01","A3210","2020-04-03 15:50:10","2"
"13","12","1","A3210","2020-04-03 15:13:23","A3210","2020-04-03 15:45:12","3"
"14","12","2","A3210","2020-04-03 15:13:25","A3210","2020-04-03 15:51:59","2"
"15","7","1","A3210","2018-05-11 13:51:03","A3210","2020-04-03 16:12:08","11"
"16","7","2","A3210","2018-05-11 13:51:04","A3210","2020-04-03 16:12:19","11"
"17","7","3","A3210","2018-05-11 13:51:05","A3210","2020-04-03 16:12:43","12"
"18","7","4","A3210","2018-05-11 13:51:06","A3210","2020-04-03 16:13:03","11"
"19","6","3","A3210","2019-03-20 12:37:42","A3210","2020-04-03 16:13:18","6"
"20","6","4","A3210","2019-03-20 12:37:44","A3210","2020-04-03 16:13:27","6"
"21","6","5","A3210","2019-03-20 12:37:45","A3210","2020-04-03 16:13:37","6"
"22","8","1","A3210","2019-03-20 12:50:27","A3210","2020-04-03 16:13:48","7"
"23","8","2","A3210","2019-03-20 12:50:28","A3210","2020-04-03 16:13:57","8"
"24","6","1","A3210","2019-03-20 12:37:39","A3210","2020-04-03 16:14:08","6"
"25","6","2","A3210","2019-03-20 12:37:40","A3210","2020-04-03 16:11:57","6"
"26","5","1","A2636","2018-04-06 16:13:07","A2636",\N,"1"
"27","9","1","A3210","2019-03-04 10:14:03","A3210","2020-04-03 16:14:29","8"
"28","9","2","A3210","2019-03-04 10:14:06","A3210","2020-04-03 16:15:36","8"
"29","9","3","A3210","2019-03-04 10:14:08","A3210","2020-04-03 16:15:46","7"
"30","13","1","A3210","2020-04-03 15:14:37","A3210","2020-04-03 16:08:13","3"
"31","13","2","B83365","2020-04-03 15:14:39","B83365","2020-04-03 17:34:42","3"
"32","13","3","B83365","2020-04-03 15:14:40","B83365","2020-04-03 17:35:08","3"
"33","13","4","B83365","2020-04-03 15:14:42","B83365","2020-04-03 17:35:43","3"
"34","9","0","A3210","2020-03-03 09:36:26","A3210","2020-04-03 16:14:18","3"
"35","12","3","A3210","2020-04-03 15:13:27","A3210","2020-04-03 15:52:11","3"
"36","10","7","B83365","2020-04-03 15:14:03","B83365","2020-04-03 16:13:24","4"
